Enumclaw_site, Date, Precipitation, Condition
44u,10/23/2003,0.010,
44u,10/24/2003,0.000,
44u,10/25/2003,0.000,
44u,10/26/2003,0.000,
44u,10/27/2003,0.000,
44u,10/28/2003,0.030,
44u,10/29/2003,0.070,
44u,10/30/2003,0.000,
44u,10/31/2003,0.000,
44u,11/1/2003,0.000,
44u,11/2/2003,0.000,
44u,11/3/2003,0.000,
44u,11/4/2003,0.000,
44u,11/5/2003,0.000,
44u,11/6/2003,0.000,
44u,11/7/2003,0.000,
44u,11/8/2003,0.000,
44u,11/9/2003,0.000,
44u,11/10/2003,0.490,
44u,11/11/2003,0.000,
44u,11/12/2003,0.000,
44u,11/13/2003,0.000,
44u,11/14/2003,0.000,
44u,11/15/2003,0.280,
44u,11/16/2003,0.520,
44u,11/17/2003,0.540,
44u,11/18/2003,0.520,
44u,11/19/2003,1.090,
44u,11/20/2003,1.020,
44u,11/21/2003,0.050,
44u,11/22/2003,0.000,
44u,11/23/2003,0.230,
44u,11/24/2003,0.000,
44u,11/25/2003,0.070,
44u,11/26/2003,0.000,
44u,11/27/2003,0.000,
44u,11/28/2003,1.220,
44u,11/29/2003,1.100,
44u,11/30/2003,0.000,
44u,12/1/2003,0.150,
44u,12/2/2003,0.430,
44u,12/3/2003,0.120,
44u,12/4/2003,0.120,
44u,12/5/2003,0.960,
44u,12/6/2003,0.200,
44u,12/7/2003,0.190,
44u,12/8/2003,0.010,
44u,12/9/2003,0.000,
44u,12/10/2003,0.180,
44u,12/11/2003,0.060,
44u,12/12/2003,0.490,
44u,12/13/2003,1.130,
44u,12/14/2003,0.190,
44u,12/15/2003,0.000,
44u,12/16/2003,0.010,
44u,12/17/2003,0.000,
44u,12/18/2003,0.000,
44u,12/19/2003,0.010,
44u,12/20/2003,0.260,
44u,12/21/2003,0.040,
44u,12/22/2003,0.000,
44u,12/23/2003,0.000,
44u,12/24/2003,0.160,
44u,12/25/2003,0.040,
44u,12/26/2003,0.040,
44u,12/27/2003,0.120,
44u,12/28/2003,0.020,
44u,12/29/2003,0.000,
44u,12/30/2003,0.070,
44u,12/31/2003,0.150,
44u,1/1/2004,0.180,
44u,1/2/2004,0.060,
44u,1/3/2004,0.400,
44u,1/4/2004,0.000,
44u,1/5/2004,0.000,
44u,1/6/2004,1.020,
44u,1/7/2004,0.720,
44u,1/8/2004,0.180,
44u,1/9/2004,0.180,
44u,1/10/2004,0.180,
44u,1/11/2004,0.000,
44u,1/12/2004,0.060,
44u,1/13/2004,0.020,
44u,1/14/2004,0.880,
44u,1/15/2004,0.330,
44u,1/16/2004,0.000,
44u,1/17/2004,0.000,
44u,1/18/2004,0.470,
44u,1/19/2004,0.000,
44u,1/20/2004,0.000,
44u,1/21/2004,0.000,
44u,1/22/2004,0.060,
44u,1/23/2004,1.960,
44u,1/24/2004,0.110,
44u,1/25/2004,0.050,
44u,1/26/2004,0.130,
44u,1/27/2004,0.000,
44u,1/28/2004,0.860,
44u,1/29/2004,2.080,
44u,1/30/2004,0.440,
44u,1/31/2004,0.190,
44u,2/1/2004,0.010,
44u,2/2/2004,0.230,
44u,2/3/2004,0.130,
44u,2/4/2004,0.580,
44u,2/5/2004,0.000,
44u,2/6/2004,0.350,
44u,2/7/2004,0.340,
44u,2/8/2004,0.010,
44u,2/9/2004,0.000,
44u,2/10/2004,0.000,
44u,2/11/2004,0.000,
44u,2/12/2004,0.000,
44u,2/13/2004,0.000,
44u,2/14/2004,0.370,
44u,2/15/2004,0.000,
44u,2/16/2004,0.510,
44u,2/17/2004,0.080,
44u,2/18/2004,0.330,
44u,2/19/2004,0.000,
44u,2/20/2004,0.000,
44u,2/21/2004,0.000,
44u,2/22/2004,0.000,
44u,2/23/2004,0.000,
44u,2/24/2004,0.010,
44u,2/25/2004,0.000,
44u,2/26/2004,0.200,
44u,2/27/2004,0.360,
44u,2/28/2004,0.060,
44u,2/29/2004,0.030,
44u,3/1/2004,0.000,
44u,3/2/2004,0.000,
44u,3/3/2004,0.670,
44u,3/4/2004,0.430,
44u,3/5/2004,0.180,
44u,3/6/2004,0.000,
44u,3/7/2004,0.010,
44u,3/8/2004,0.000,
44u,3/9/2004,0.170,
44u,3/10/2004,0.000,
44u,3/11/2004,0.000,
44u,3/12/2004,0.000,
44u,3/13/2004,0.000,
44u,3/14/2004,0.030,
44u,3/15/2004,0.000,
44u,3/16/2004,0.000,
44u,3/17/2004,0.020,
44u,3/18/2004,0.350,
44u,3/19/2004,0.030,
44u,3/20/2004,0.000,
44u,3/21/2004,0.000,
44u,3/22/2004,0.010,
44u,3/23/2004,0.100,
44u,3/24/2004,0.570,
44u,3/25/2004,0.320,
44u,3/26/2004,0.230,
44u,3/27/2004,0.120,
44u,3/28/2004,0.000,
44u,3/29/2004,0.000,
44u,3/30/2004,0.670,
44u,3/31/2004,0.000,
44u,4/1/2004,0.000,
44u,4/2/2004,0.000,
44u,4/3/2004,0.000,
44u,4/4/2004,0.000,
44u,4/5/2004,0.000,
44u,4/6/2004,0.000,
44u,4/7/2004,0.000,
44u,4/8/2004,0.000,
44u,4/9/2004,0.000,
44u,4/10/2004,0.000,
44u,4/11/2004,0.000,
44u,4/12/2004,0.060,
44u,4/13/2004,0.010,
44u,4/14/2004,0.260,
44u,4/15/2004,0.420,
44u,4/16/2004,0.250,
44u,4/17/2004,0.060,
44u,4/18/2004,0.150,
44u,4/19/2004,0.190,
44u,4/20/2004,0.180,
44u,4/21/2004,0.090,
44u,4/22/2004,0.000,
44u,4/23/2004,0.100,
44u,4/24/2004,0.000,
44u,4/25/2004,0.000,
44u,4/26/2004,0.000,
44u,4/27/2004,0.360,
44u,4/28/2004,0.000,
44u,4/29/2004,0.000,
44u,4/30/2004,0.000,
44u,5/1/2004,0.000,
44u,5/2/2004,0.000,
44u,5/3/2004,0.000,
44u,5/4/2004,0.440,
44u,5/5/2004,0.000,
44u,5/6/2004,0.000,
44u,5/7/2004,0.280,
44u,5/8/2004,0.470,
44u,5/9/2004,0.090,
44u,5/10/2004,0.460,
44u,5/11/2004,0.120,
44u,5/12/2004,0.000,
44u,5/13/2004,0.000,
44u,5/14/2004,0.000,
44u,5/15/2004,0.260,
44u,5/16/2004,0.020,
44u,5/17/2004,0.110,
44u,5/18/2004,0.120,
44u,5/19/2004,0.000,
44u,5/20/2004,0.020,
44u,5/21/2004,0.000,
44u,5/22/2004,0.700,
44u,5/23/2004,0.050,
44u,5/24/2004,0.000,
44u,5/25/2004,0.550,
44u,5/26/2004,1.600,
44u,5/27/2004,0.990,
44u,5/28/2004,0.680,
44u,5/29/2004,0.010,
44u,5/30/2004,0.180,
44u,5/31/2004,0.000,
44u,6/1/2004,0.000,
44u,6/2/2004,0.000,
44u,6/3/2004,0.000,
44u,6/4/2004,0.000,
44u,6/5/2004,0.800,
44u,6/6/2004,0.120,
44u,6/7/2004,0.080,
44u,6/8/2004,0.100,
44u,6/9/2004,0.040,
44u,6/10/2004,0.060,
44u,6/11/2004,0.000,
44u,6/12/2004,0.120,
44u,6/13/2004,0.340,
44u,6/14/2004,0.040,
44u,6/15/2004,0.000,
44u,6/16/2004,0.000,
44u,6/17/2004,0.010,
44u,6/18/2004,0.010,
44u,6/19/2004,0.000,
44u,6/20/2004,0.000,
44u,6/21/2004,0.000,
44u,6/22/2004,0.000,
44u,6/23/2004,0.020,
44u,6/24/2004,0.050,
44u,6/25/2004,0.070,
44u,6/26/2004,0.000,
44u,6/27/2004,0.000,
44u,6/28/2004,0.000,
44u,6/29/2004,0.000,
44u,6/30/2004,0.010,
44u,7/1/2004,0.000,
44u,7/2/2004,0.210,
44u,7/3/2004,0.220,
44u,7/4/2004,0.000,
44u,7/5/2004,0.000,
44u,7/6/2004,0.030,
44u,7/7/2004,0.090,
44u,7/8/2004,0.000,
44u,7/9/2004,0.000,
44u,7/10/2004,0.040,
44u,7/11/2004,0.000,
44u,7/12/2004,0.000,
44u,7/13/2004,0.000,
44u,7/14/2004,0.000,
44u,7/15/2004,0.000,
44u,7/16/2004,0.000,
44u,7/17/2004,0.000,
44u,7/18/2004,0.010,
44u,7/19/2004,0.090,
44u,7/20/2004,0.040,
44u,7/21/2004,0.000,
44u,7/22/2004,0.000,
44u,7/23/2004,0.000,
44u,7/24/2004,0.000,
44u,7/25/2004,0.000,
44u,7/26/2004,0.000,
44u,7/27/2004,0.000,
44u,7/28/2004,0.000,
44u,7/29/2004,0.000,
44u,7/30/2004,0.000,
44u,7/31/2004,0.000,
44u,8/1/2004,0.000,
44u,8/2/2004,0.000,
44u,8/3/2004,0.000,
44u,8/4/2004,0.010,
44u,8/5/2004,0.060,
44u,8/6/2004,0.860,
44u,8/7/2004,0.000,
44u,8/8/2004,0.000,
44u,8/9/2004,0.000,
44u,8/10/2004,0.000,
44u,8/11/2004,0.000,
44u,8/12/2004,0.000,
44u,8/13/2004,0.000,
44u,8/14/2004,0.000,
44u,8/15/2004,0.000,
44u,8/16/2004,0.060,
44u,8/17/2004,0.000,
44u,8/18/2004,0.010,
44u,8/19/2004,0.000,
44u,8/20/2004,0.000,
44u,8/21/2004,0.450,
44u,8/22/2004,3.420,
44u,8/23/2004,0.200,
44u,8/24/2004,1.090,
44u,8/25/2004,0.580,
44u,8/26/2004,0.700,
44u,8/27/2004,0.010,
44u,8/28/2004,0.000,
44u,8/29/2004,0.000,
44u,8/30/2004,0.000,
44u,8/31/2004,0.000,
44u,9/1/2004,0.670,
44u,9/2/2004,0.100,
44u,9/3/2004,0.000,
44u,9/4/2004,0.000,
44u,9/5/2004,0.000,
44u,9/6/2004,0.000,
44u,9/7/2004,0.000,
44u,9/8/2004,0.110,
44u,9/9/2004,0.040,
44u,9/10/2004,0.200,
44u,9/11/2004,1.120,
44u,9/12/2004,0.170,
44u,9/13/2004,0.420,
44u,9/14/2004,0.230,
44u,9/15/2004,0.120,
44u,9/16/2004,0.210,
44u,9/17/2004,0.330,
44u,9/18/2004,0.230,
44u,9/19/2004,0.500,
44u,9/20/2004,0.000,
44u,9/21/2004,0.000,
44u,9/22/2004,0.060,
44u,9/23/2004,0.110,
44u,9/24/2004,0.000,
44u,9/25/2004,0.010,
44u,9/26/2004,0.000,
44u,9/27/2004,0.000,
44u,9/28/2004,0.000,
44u,9/29/2004,0.070,
44u,9/30/2004,0.010,
44u,10/1/2004,0.000,
44u,10/2/2004,0.000,
44u,10/3/2004,0.000,
44u,10/4/2004,0.000,
44u,10/5/2004,0.330,
44u,10/6/2004,0.230,
44u,10/7/2004,0.000,
44u,10/8/2004,1.320,
44u,10/9/2004,0.010,
44u,10/10/2004,0.000,
44u,10/11/2004,0.000,
44u,10/12/2004,0.000,
44u,10/13/2004,0.000,
44u,10/14/2004,0.000,
44u,10/15/2004,0.040,
44u,10/16/2004,1.800,
44u,10/17/2004,0.540,
44u,10/18/2004,0.150,
44u,10/19/2004,0.010,
44u,10/20/2004,0.000,
44u,10/21/2004,0.390,
44u,10/22/2004,0.120,
44u,10/23/2004,0.110,
44u,10/24/2004,0.020,
44u,10/25/2004,0.010,
44u,10/26/2004,0.000,
44u,10/27/2004,0.000,
44u,10/28/2004,0.070,
44u,10/29/2004,0.000,
44u,10/30/2004,0.240,
44u,10/31/2004,0.000,
44u,11/1/2004,0.100,
44u,11/2/2004,1.480,
44u,11/3/2004,0.100,
44u,11/4/2004,0.000,
44u,11/5/2004,0.000,
44u,11/6/2004,0.000,
44u,11/7/2004,0.000,
44u,11/8/2004,0.000,
44u,11/9/2004,0.000,
44u,11/10/2004,0.000,
44u,11/11/2004,0.000,
44u,11/12/2004,0.000,
44u,11/13/2004,0.060,
44u,11/14/2004,0.010,
44u,11/15/2004,0.520,
44u,11/16/2004,0.130,
44u,11/17/2004,0.010,
44u,11/18/2004,0.440,
44u,11/19/2004,0.000,
44u,11/20/2004,0.000,
44u,11/21/2004,0.000,
44u,11/22/2004,0.050,
44u,11/23/2004,0.590,
44u,11/24/2004,0.660,
44u,11/25/2004,0.220,
44u,11/26/2004,0.030,
44u,11/27/2004,0.260,
44u,11/28/2004,0.000,
44u,11/29/2004,0.150,
44u,11/30/2004,0.300,
44u,12/1/2004,0.010,
44u,12/2/2004,0.000,
44u,12/3/2004,0.000,
44u,12/4/2004,0.150,
44u,12/5/2004,0.080,
44u,12/6/2004,0.200,
44u,12/7/2004,0.720,
44u,12/8/2004,0.590,
44u,12/9/2004,0.770,
44u,12/10/2004,1.130,
44u,12/11/2004,0.390,
44u,12/12/2004,0.000,
44u,12/13/2004,0.600,
44u,12/14/2004,0.160,
44u,12/15/2004,0.000,
44u,12/16/2004,0.000,
44u,12/17/2004,0.000,
44u,12/18/2004,0.000,
44u,12/19/2004,0.100,
44u,12/20/2004,0.000,
44u,12/21/2004,0.000,
44u,12/22/2004,0.000,
44u,12/23/2004,0.000,
44u,12/24/2004,0.000,
44u,12/25/2004,0.250,
44u,12/26/2004,0.020,
44u,12/27/2004,0.000,
44u,12/28/2004,0.000,
44u,12/29/2004,0.420,
44u,12/30/2004,0.020,
44u,12/31/2004,0.000,
44u,1/1/2005,0.010,
44u,1/2/2005,0.000,
44u,1/3/2005,0.000,
44u,1/4/2005,0.000,
44u,1/5/2005,0.000,
44u,1/6/2005,0.240,
44u,1/7/2005,0.050,
44u,1/8/2005,0.040,
44u,1/9/2005,0.050,
44u,1/10/2005,0.000,
44u,1/11/2005,0.000,
44u,1/12/2005,0.000,
44u,1/13/2005,0.000,
44u,1/14/2005,0.000,
44u,1/15/2005,0.290,
44u,1/16/2005,0.180,
44u,1/17/2005,2.580,
44u,1/18/2005,1.760,
44u,1/19/2005,0.000,
44u,1/20/2005,0.430,
44u,1/21/2005,0.020,
44u,1/22/2005,0.280,
44u,1/23/2005,0.010,
44u,1/24/2005,0.000,
44u,1/25/2005,0.000,
44u,1/26/2005,0.190,
44u,1/27/2005,0.050,
44u,1/28/2005,0.020,
44u,1/29/2005,0.020,
44u,1/30/2005,0.000,
44u,1/31/2005,0.070,
44u,2/1/2005,0.000,
44u,2/2/2005,0.000,
44u,2/3/2005,0.000,
44u,2/4/2005,0.370,
44u,2/5/2005,0.000,
44u,2/6/2005,0.490,
44u,2/7/2005,0.000,
44u,2/8/2005,0.000,
44u,2/9/2005,0.000,
44u,2/10/2005,0.000,
44u,2/11/2005,0.000,
44u,2/12/2005,0.060,
44u,2/13/2005,0.060,
44u,2/14/2005,0.040,
44u,2/15/2005,0.000,
44u,2/16/2005,0.000,
44u,2/17/2005,0.000,
44u,2/18/2005,0.000,
44u,2/19/2005,0.000,
44u,2/20/2005,0.000,
44u,2/21/2005,0.000,
44u,2/22/2005,0.000,
44u,2/23/2005,0.000,
44u,2/24/2005,0.000,
44u,2/25/2005,0.000,
44u,2/26/2005,0.000,
44u,2/27/2005,0.000,
44u,2/28/2005,0.180,
44u,3/1/2005,0.130,
44u,3/2/2005,0.060,
44u,3/3/2005,0.000,
44u,3/4/2005,0.000,
44u,3/5/2005,0.000,
44u,3/6/2005,0.000,
44u,3/7/2005,0.010,
44u,3/8/2005,0.000,
44u,3/9/2005,0.030,
44u,3/10/2005,0.000,
44u,3/11/2005,0.000,
44u,3/12/2005,0.000,
44u,3/13/2005,0.000,
44u,3/14/2005,0.000,
44u,3/15/2005,0.000,
44u,3/16/2005,0.410,
44u,3/17/2005,0.100,
44u,3/18/2005,0.000,
44u,3/19/2005,0.400,
44u,3/20/2005,0.260,
44u,3/21/2005,0.150,
44u,3/22/2005,0.000,
44u,3/23/2005,0.010,
44u,3/24/2005,0.010,
44u,3/25/2005,0.000,
44u,3/26/2005,1.640,
44u,3/27/2005,1.810,
44u,3/28/2005,0.580,
44u,3/29/2005,0.460,
44u,3/30/2005,0.010,
44u,3/31/2005,0.000,
44u,4/1/2005,0.790,
44u,4/2/2005,0.000,
44u,4/3/2005,0.400,
44u,4/4/2005,0.000,
44u,4/5/2005,0.020,
44u,4/6/2005,0.000,
44u,4/7/2005,0.650,
44u,4/8/2005,0.000,
44u,4/9/2005,0.000,
44u,4/10/2005,0.100,
44u,4/11/2005,0.640,
44u,4/12/2005,0.020,
44u,4/13/2005,0.050,
44u,4/14/2005,0.110,
44u,4/15/2005,0.500,
44u,4/16/2005,0.990,
44u,4/17/2005,0.050,
44u,4/18/2005,0.100,
44u,4/19/2005,0.000,
44u,4/20/2005,0.000,
44u,4/21/2005,0.000,
44u,4/22/2005,0.000,
44u,4/23/2005,0.670,
44u,4/24/2005,0.220,
44u,4/25/2005,0.020,
44u,4/26/2005,0.000,
44u,4/27/2005,0.010,
44u,4/28/2005,0.150,
44u,4/29/2005,0.920,
44u,4/30/2005,0.120,
44u,5/1/2005,0.030,
44u,5/2/2005,0.460,
44u,5/3/2005,0.000,
44u,5/4/2005,0.060,
44u,5/5/2005,0.000,
44u,5/6/2005,0.000,
44u,5/7/2005,0.010,
44u,5/8/2005,0.150,
44u,5/9/2005,0.670,
44u,5/10/2005,0.620,
44u,5/11/2005,0.190,
44u,5/12/2005,0.000,
44u,5/13/2005,0.000,
44u,5/14/2005,0.240,E,
44u,5/15/2005,0.770,E,
44u,5/16/2005,0.310,E,
44u,5/17/2005,0.060,E,
44u,5/18/2005,0.400,E,
44u,5/19/2005,0.210,E,
44u,5/20/2005,0.590,E,
44u,5/21/2005,0.270,E,
44u,5/22/2005,0.050,E,
44u,5/23/2005,0.000,E,
44u,5/24/2005,0.000,E,
44u,5/25/2005,0.000,
44u,5/26/2005,0.000,
44u,5/27/2005,0.000,
44u,5/28/2005,0.000,
44u,5/29/2005,0.000,
44u,5/30/2005,0.010,
44u,5/31/2005,0.280,
44u,6/1/2005,0.920,
44u,6/2/2005,0.070,
44u,6/3/2005,0.060,
44u,6/4/2005,0.040,
44u,6/5/2005,0.200,
44u,6/6/2005,0.060,
44u,6/7/2005,0.290,
44u,6/8/2005,0.020,
44u,6/9/2005,0.000,
44u,6/10/2005,0.180,
44u,6/11/2005,0.560,
44u,6/12/2005,0.070,
44u,6/13/2005,0.200,
44u,6/14/2005,0.050,
44u,6/15/2005,0.000,
44u,6/16/2005,0.580,
44u,6/17/2005,0.520,
44u,6/18/2005,0.060,
44u,6/19/2005,0.030,
44u,6/20/2005,0.000,
44u,6/21/2005,0.450,
44u,6/22/2005,0.460,
44u,6/23/2005,0.000,
44u,6/24/2005,0.000,
44u,6/25/2005,0.150,
44u,6/26/2005,0.310,
44u,6/27/2005,0.160,
44u,6/28/2005,0.020,
44u,6/29/2005,0.010,
44u,6/30/2005,0.000,
44u,7/1/2005,0.000,
44u,7/2/2005,0.000,
44u,7/3/2005,0.000,
44u,7/4/2005,0.000,
44u,7/5/2005,0.110,
44u,7/6/2005,0.570,
44u,7/7/2005,0.000,
44u,7/8/2005,0.640,
44u,7/9/2005,0.080,
44u,7/10/2005,0.010,
44u,7/11/2005,0.000,
44u,7/12/2005,0.010,
44u,7/13/2005,0.050,
44u,7/14/2005,0.000,
44u,7/15/2005,0.000,
44u,7/16/2005,0.220,
44u,7/17/2005,0.000,
44u,7/18/2005,0.000,
44u,7/19/2005,0.000,
44u,7/20/2005,0.000,
44u,7/21/2005,0.000,
44u,7/22/2005,0.620,
44u,7/23/2005,0.000,
44u,7/24/2005,0.000,
44u,7/25/2005,0.000,
44u,7/26/2005,0.000,
44u,7/27/2005,0.000,
44u,7/28/2005,0.000,
44u,7/29/2005,0.000,
44u,7/30/2005,0.000,
44u,7/31/2005,0.000,
44u,8/1/2005,0.020,
44u,8/2/2005,0.000,
44u,8/3/2005,0.000,
44u,8/4/2005,0.000,
44u,8/5/2005,0.000,
44u,8/6/2005,0.000,
44u,8/7/2005,0.000,
44u,8/8/2005,0.000,
44u,8/9/2005,0.000,
44u,8/10/2005,0.010,
44u,8/11/2005,0.000,
44u,8/12/2005,0.000,
44u,8/13/2005,0.000,
44u,8/14/2005,0.000,
44u,8/15/2005,0.000,
44u,8/16/2005,0.000,
44u,8/17/2005,0.390,
44u,8/18/2005,0.000,
44u,8/19/2005,0.000,
44u,8/20/2005,0.000,
44u,8/21/2005,0.000,
44u,8/22/2005,0.000,
44u,8/23/2005,0.000,
44u,8/24/2005,0.000,
44u,8/25/2005,0.000,
44u,8/26/2005,0.000,
44u,8/27/2005,0.000,
44u,8/28/2005,0.340,
44u,8/29/2005,0.740,
44u,8/30/2005,0.010,
44u,8/31/2005,0.000,
44u,9/1/2005,0.000,
44u,9/2/2005,0.000,
44u,9/3/2005,0.000,
44u,9/4/2005,0.200,
44u,9/5/2005,0.000,
44u,9/6/2005,0.000,
44u,9/7/2005,0.000,
44u,9/8/2005,0.000,
44u,9/9/2005,0.070,
44u,9/10/2005,1.240,
44u,9/11/2005,0.000,
44u,9/12/2005,0.000,
44u,9/13/2005,0.000,
44u,9/14/2005,0.000,
44u,9/15/2005,0.000,
44u,9/16/2005,0.060,
44u,9/17/2005,0.000,
44u,9/18/2005,0.000,
44u,9/19/2005,0.000,
44u,9/20/2005,0.000,
44u,9/21/2005,0.000,
44u,9/22/2005,0.000,
44u,9/23/2005,0.000,
44u,9/24/2005,0.000,
44u,9/25/2005,0.000,
44u,9/26/2005,0.000,
44u,9/27/2005,0.000,
44u,9/28/2005,0.000,
44u,9/29/2005,0.930,E,
44u,9/30/2005,0.550,E,
44u,10/1/2005,0.150,E,
44u,10/2/2005,0.110,E,
44u,10/3/2005,0.010,E,
44u,10/4/2005,0.000,E,
44u,10/5/2005,0.000,E,
44u,10/6/2005,0.510,E,
44u,10/7/2005,0.070,E,
44u,10/8/2005,0.160,E,
44u,10/9/2005,0.000,E,
44u,10/10/2005,0.060,E,
44u,10/11/2005,0.120,E,
44u,10/12/2005,0.070,E,
44u,10/13/2005,0.080,E,
44u,10/14/2005,0.220,E,
44u,10/15/2005,0.150,
44u,10/16/2005,0.000,
44u,10/17/2005,0.080,
44u,10/18/2005,0.010,
44u,10/19/2005,0.800,
44u,10/20/2005,0.040,
44u,10/21/2005,0.000,
44u,10/22/2005,0.000,
44u,10/23/2005,0.350,
44u,10/24/2005,0.010,
44u,10/25/2005,0.160,
44u,10/26/2005,0.070,
44u,10/27/2005,0.030,
44u,10/28/2005,0.230,
44u,10/29/2005,0.430,
44u,10/30/2005,0.270,
44u,10/31/2005,1.640,
44u,11/1/2005,1.860,
44u,11/2/2005,0.080,
44u,11/3/2005,0.090,
44u,11/4/2005,0.320,
44u,11/5/2005,0.710,
44u,11/6/2005,0.060,
44u,11/7/2005,0.250,
44u,11/8/2005,0.000,
44u,11/9/2005,0.000,
44u,11/10/2005,0.250,
44u,11/11/2005,0.350,
44u,11/12/2005,0.000,
44u,11/13/2005,0.530,
44u,11/14/2005,0.120,
44u,11/15/2005,0.000,
44u,11/16/2005,0.000,
44u,11/17/2005,0.000,
44u,11/18/2005,0.000,
44u,11/19/2005,0.000,
44u,11/20/2005,0.000,
44u,11/21/2005,0.000,
44u,11/22/2005,0.000,
44u,11/23/2005,0.000,
44u,11/24/2005,0.120,
44u,11/25/2005,1.770,
44u,11/26/2005,0.000,
44u,11/27/2005,0.000,
44u,11/28/2005,0.000,
44u,11/29/2005,1.000,
44u,11/30/2005,0.010,
44u,12/1/2005,0.220,S
44u,12/2/2005,0.730,S
44u,12/3/2005,0.020,S
44u,12/4/2005,0.000,S
44u,12/5/2005,0.000,
44u,12/6/2005,0.000,
44u,12/7/2005,0.000,
44u,12/8/2005,0.000,
44u,12/9/2005,0.000,
44u,12/10/2005,0.000,
44u,12/11/2005,0.000,
44u,12/12/2005,0.090,
44u,12/13/2005,0.000,
44u,12/14/2005,0.000,
44u,12/15/2005,0.000,
44u,12/16/2005,0.000,
44u,12/17/2005,0.000,
44u,12/18/2005,0.000,
44u,12/19/2005,0.160,
44u,12/20/2005,0.330,
44u,12/21/2005,0.570,
44u,12/22/2005,0.860,
44u,12/23/2005,1.080,
44u,12/24/2005,0.560,
44u,12/25/2005,0.380,
44u,12/26/2005,0.140,
44u,12/27/2005,0.790,
44u,12/28/2005,0.640,
44u,12/29/2005,0.210,
44u,12/30/2005,0.540,
44u,12/31/2005,0.820,
44u,1/1/2006,0.000,
44u,1/2/2006,0.270,
44u,1/3/2006,0.220,
44u,1/4/2006,0.000,
44u,1/5/2006,0.940,
44u,1/6/2006,0.490,
44u,1/7/2006,1.050,
44u,1/8/2006,0.060,
44u,1/9/2006,1.220,
44u,1/10/2006,2.230,
44u,1/11/2006,0.530,
44u,1/12/2006,0.420,
44u,1/13/2006,0.620,
44u,1/14/2006,0.090,
44u,1/15/2006,0.010,
44u,1/16/2006,0.770,
44u,1/17/2006,0.170,
44u,1/18/2006,0.060,
44u,1/19/2006,0.150,
44u,1/20/2006,1.050,
44u,1/21/2006,0.170,
44u,1/22/2006,0.000,
44u,1/23/2006,0.000,
44u,1/24/2006,0.000,
44u,1/25/2006,0.380,
44u,1/26/2006,0.050,
44u,1/27/2006,0.090,
44u,1/28/2006,0.300,
44u,1/29/2006,1.020,
44u,1/30/2006,1.110,
44u,1/31/2006,0.310,
44u,2/1/2006,0.210,
44u,2/2/2006,0.590,
44u,2/3/2006,0.030,
44u,2/4/2006,0.530,
44u,2/5/2006,0.000,
44u,2/6/2006,0.000,
44u,2/7/2006,0.000,
44u,2/8/2006,0.140,
44u,2/9/2006,0.000,
44u,2/10/2006,0.000,
44u,2/11/2006,0.000,
44u,2/12/2006,0.000,
44u,2/13/2006,0.570,
44u,2/14/2006,0.000,
44u,2/15/2006,0.000,
44u,2/16/2006,0.000,
44u,2/17/2006,0.000,
44u,2/18/2006,0.000,
44u,2/19/2006,0.000,
44u,2/20/2006,0.070,
44u,2/21/2006,0.090,
44u,2/22/2006,0.010,
44u,2/23/2006,0.610,
44u,2/24/2006,0.010,
44u,2/25/2006,0.000,
44u,2/26/2006,0.020,
44u,2/27/2006,0.640,
44u,2/28/2006,0.990,
44u,3/1/2006,0.000,
44u,3/2/2006,0.130,
44u,3/3/2006,0.000,
44u,3/4/2006,0.090,
44u,3/5/2006,0.000,
44u,3/6/2006,0.060,
44u,3/7/2006,0.010,
44u,3/8/2006,0.250,
44u,3/9/2006,0.260,
44u,3/10/2006,0.090,
44u,3/11/2006,0.010,
44u,3/12/2006,0.000,
44u,3/13/2006,0.000,
44u,3/14/2006,0.100,
44u,3/15/2006,0.000,
44u,3/16/2006,0.000,
44u,3/17/2006,0.150,
44u,3/18/2006,0.750,
44u,3/19/2006,0.000,
44u,3/20/2006,0.000,
44u,3/21/2006,0.010,
44u,3/22/2006,0.000,
44u,3/23/2006,0.000,
44u,3/24/2006,0.200,
44u,3/25/2006,0.120,
44u,3/26/2006,0.060,
44u,3/27/2006,0.000,
44u,3/28/2006,0.230,
44u,3/29/2006,0.020,
44u,3/30/2006,0.050,
44u,3/31/2006,0.050,
44u,4/1/2006,0.510,
44u,4/2/2006,0.000,
44u,4/3/2006,0.370,
44u,4/4/2006,0.000,
44u,4/5/2006,0.000,
44u,4/6/2006,0.000,
44u,4/7/2006,0.000,
44u,4/8/2006,0.370,
44u,4/9/2006,0.000,
44u,4/10/2006,0.000,
44u,4/11/2006,0.050,
44u,4/12/2006,0.290,
44u,4/13/2006,0.670,
44u,4/14/2006,0.790,
44u,4/15/2006,0.160,
44u,4/16/2006,0.220,
44u,4/17/2006,0.330,
44u,4/18/2006,0.000,
44u,4/19/2006,0.000,
44u,4/20/2006,0.030,
44u,4/21/2006,0.480,
44u,4/22/2006,0.000,
44u,4/23/2006,0.000,
44u,4/24/2006,0.000,
44u,4/25/2006,0.000,
44u,4/26/2006,0.000,
44u,4/27/2006,0.000,
44u,4/28/2006,0.000,
44u,4/29/2006,0.810,
44u,4/30/2006,0.000,
44u,5/1/2006,0.000,
44u,5/2/2006,0.000,
44u,5/3/2006,0.000,
44u,5/4/2006,0.000,
44u,5/5/2006,0.000,
44u,5/6/2006,0.040,
44u,5/7/2006,0.260,
